symbol	base	module	count	status_counts	resolved_ea	example_ea	example_line
byte_C8F2	byte_C8F2		2	direct:2	0x0000C8F2	0x0000B06B	CODE:0000B06B                 addf    @byte_C8F2,r0
byte_C910	byte_C910		2	direct:2	0x0000C910	0x00006D91	CODE:00006D91                 ldi     @byte_C910,r0
byte_C911	byte_C911		2	direct:2	0x0000C911	0x00001CC1	CODE:00001CC1                 sti     r0,@byte_C911
byte_C912	byte_C912		2	direct:2	0x0000C912	0x000039D1	CODE:000039D1                 ldi     @byte_C912,r0
byte_E437	byte_E437		2	direct:2	0x0000E437	0x00004095	CODE:00004095                 sti     r0,@byte_E437
byte_E439	byte_E439		2	direct:2	0x0000E439	0x0000403C	CODE:0000403C                 ldi     @byte_E439,ar2
byte_E4B0	byte_E4B0		2	direct:2	0x0000E4B0	0x00003998	CODE:00003998                 sti     r0,@byte_E4B0
byte_E5C7	byte_E5C7		2	direct:2	0x0000E5C7	0x0000162E	CODE:0000162E                 ldi     @byte_E5C7,r0
byte_E66E	byte_E66E		2	direct:2	0x0000E66E	0x00001A5C	CODE:00001A5C                 ldi     @byte_E66E,r0
byte_E66F	byte_E66F		2	direct:2	0x0000E66F	0x0000196C	CODE:0000196C                 sti     r0,@byte_E66F
byte_E87C	byte_E87C		2	direct:2	0x0000E87C	0x00001C9E	CODE:00001C9E                 sti     r0,@byte_E87C
byte_E880	byte_E880		2	direct:2	0x0000E880	0x00001E2D	CODE:00001E2D                 sti     r0,@byte_E880
byte_E898	byte_E898		2	direct:2	0x0000E898	0x000039B7	CODE:000039B7                 sti     r0,@byte_E898
byte_E929	byte_E929		2	direct:2	0x0000E929	0x000030B5	CODE:000030B5                 ldi     @byte_E929,r2
byte_E92E	byte_E92E		2	direct:2	0x0000E92E	0x000030F2	CODE:000030F2                 ldi     @byte_E92E,r2
byte_E932	byte_E932		2	direct:2	0x0000E932	0x000030B7	CODE:000030B7                 ldi     @byte_E932,r2
byte_E937	byte_E937		2	direct:2	0x0000E937	0x000030F5	CODE:000030F5                 ldi     @byte_E937,r2
byte_EA5D	byte_EA5D		2	direct:2	0x0000EA5D	0x00006DF4	CODE:00006DF4                 sti     ar2,@byte_EA5D
byte_F29	byte_F29		2	direct:2	0x00000F29	0x00000F23	CODE:00000F23                 ldi     @byte_F29,ar4
CALC_TOTAL_ELAPSED@HSTDP	CALC_TOTAL_ELAPSED	HSTDP	2	direct:2	0x0000330E	0x000032F1	CODE:000032F1                 calle   CALC_TOTAL_ELAPSED@HSTDP
CAMCHK@PLYR	CAMCHK	PLYR	2	direct:2	0x00002BB7	0x00002B14	CODE:00002B14                 call    CAMCHK@PLYR
CAMROT@PLYR	CAMROT	PLYR	2	direct:2	0x00002BBD	0x00002B17	CODE:00002B17                 call    CAMROT@PLYR
CARSCL@COLLA	CARSCL	COLLA	2	direct:2	0x00002218	0x0000220E	CODE:0000220E                 bgt     CARSCL@COLLA
CCLPX@INTRO	CCLPX	INTRO	2	direct:2	0x0000195A	0x00001949	CODE:00001949                 bne     CCLPX@INTRO
CCOLLX@ROADKILL	CCOLLX	ROADKILL	2	direct:2	0x00006967	0x00006959	CODE:00006959                 be      CCOLLX@ROADKILL
CHECKSUMGEN_ADJ@CMOS	CHECKSUMGEN_ADJ	CMOS	2	direct:2	0x000099F5	0x000099E9	CODE:000099E9                 call    CHECKSUMGEN_ADJ@CMOS
CHECKTHEREG@DIRQ	CHECKTHEREG	DIRQ	2	direct:2	0x000000FD	0x000000F7	CODE:000000F7                 be      CHECKTHEREG@DIRQ
CHECK_MOTION_ERROR@MOTION	CHECK_MOTION_ERROR	MOTION	2	direct:2	0x000049A7	0x000045B8	CODE:000045B8                 call    CHECK_MOTION_ERROR@MOTION
CHECK_OFFSET@ROADKILL	CHECK_OFFSET	ROADKILL	2	direct:2	0x00006968	0x00006961	CODE:00006961                 call    CHECK_OFFSET@ROADKILL
CHOSEN_TRANSMISSION	CHOSEN_TRANSMISSION		2	direct:2	0x0000E663	0x000029AF	CODE:000029AF                 ldi     @CHOSEN_TRANSMISSION,r0
CKBNCX@COLLA	CKBNCX	COLLA	2	direct:2	0x00002833	0x0000282A	CODE:0000282A                 blt     CKBNCX@COLLA
CKBND@PLYR	CKBND	PLYR	2	direct:2	0x00002F2C	0x00002F67	CODE:00002F67                 call    CKBND@PLYR
CLDSCAN@COLLA	CLDSCAN	COLLA	2	direct:2	0x0000260E	0x000021D8	CODE:000021D8                 call    CLDSCAN@COLLA
CLDSCL@COLLA	CLDSCL	COLLA	2	direct:2	0x00002628	0x00002614	CODE:00002614                 bned    CLDSCL@COLLA
CLIP@DIRQ	CLIP	DIRQ	2	direct:2	0x0000032F	0x00000305	CODE:00000305                 call    CLIP@DIRQ
CLIPCK@DIRQ	CLIPCK	DIRQ	2	direct:2	0x00000309	0x000002E7	CODE:000002E7                 call    CLIPCK@DIRQ
CLRSC01@UTIL	CLRSC01	UTIL	2	direct:2	0x00008EA9	0x00008EB4	CODE:00008EB4                 bu      CLRSC01@UTIL
CMERRORDEAD@COMM	CMERRORDEAD	COMM	2	direct:2	0x000080BE	0x00007FCD	CODE:00007FCD                 bu      CMERRORDEAD@COMM
CMERRORL@COMM	CMERRORL	COMM	2	direct:2	0x000080BD	0x00007FB0	CODE:00007FB0                 ble     CMERRORL@COMM
CMOS_CHIP_TEST@MEMTEST	CMOS_CHIP_TEST	MEMTEST	2	direct:2	0x0000642E	0x000063FB	CODE:000063FB                 call    CMOS_CHIP_TEST@MEMTEST
CMSX@COLLA	CMSX	COLLA	2	direct:2	0x00001FAD	0x00001F8F	CODE:00001F8F                 be      CMSX@COLLA
COFFX@ROADKILL	COFFX	ROADKILL	2	direct:2	0x00006982	0x00006964	CODE:00006964                 be      COFFX@ROADKILL
COINMSGC_TABI@COINTAB	COINMSGC_TABI	COINTAB	2	direct:2	0x0000B0B4	0x00000A21	CODE:00000A21                 addi    @COINMSGC_TABI@COINTAB,ar2
COINOFF	COINOFF		2	direct:2	0x0000E571	0x0000748B	CODE:0000748B                 ldi     @COINOFF,r0
COLDISP@COLLA	COLDISP	COLLA	2	direct:2	0x00002645	0x00002603	CODE:00002603                 bu      COLDISP@COLLA
COLONI@MAP	COLONI	MAP	2	direct:2	0x000060C0	0x000060CF	CODE:000060CF                 ldi     @COLONI@MAP,ar1
COLSCL0@COLLA	COLSCL0	COLLA	2	direct:2	0x00002604	0x000025E8	CODE:000025E8                 bud     COLSCL0@COLLA
COLSCL@COLLA	COLSCL	COLLA	2	direct:2	0x00002608	0x000025EC	CODE:000025EC                 bned    COLSCL@COLLA
COLSGCX0@COLLA	COLSGCX0	COLLA	2	direct:2	0x00002329	0x000022F9	CODE:000022F9                 bu      COLSGCX0@COLLA
COLVEL@COLLA	COLVEL	COLLA	2	direct:2	0x0000E5BD	0x0000276E	CODE:0000276E                 stf     r3,@COLVEL@COLLA
COPY_RAMTEST@MEMTEST	COPY_RAMTEST	MEMTEST	2	direct:2	0x00006573	0x00006307	CODE:00006307                 call    COPY_RAMTEST@MEMTEST
COUNTDOWN_BUFI	COUNTDOWN_BUFI		2	direct:2	0x00009D0B	0x00001EE2	CODE:00001EE2                 ldi     @COUNTDOWN_BUFI,ar2
COUNTRY_DEFAULTSI@COINTAB	COUNTRY_DEFAULTSI	COINTAB	2	direct:2	0x0000B0B3	0x000073F3	CODE:000073F3                 ldi     @COUNTRY_DEFAULTSI@COINTAB,ar2
CPHX@OVERLAY	CPHX	OVERLAY	2	direct:2	0x0000AD47	0x0000AD39	CODE:0000AD39                 ble     CPHX@OVERLAY
CREATE_LETTERS@HSTDP	CREATE_LETTERS	HSTDP	2	direct:2	0x000037E6	0x00003691	CODE:00003691                 call    CREATE_LETTERS@HSTDP
CRLX@HSTDP	CRLX	HSTDP	2	direct:2	0x00003812	0x000037F1	CODE:000037F1                 be      CRLX@HSTDP
CSPSLEEP@ROADKILL	CSPSLEEP	ROADKILL	2	direct:2	0x00006A17	0x00006A12	CODE:00006A12                 blo     CSPSLEEP@ROADKILL
CURBCOL0@PLYR	CURBCOL0	PLYR	2	direct:2	0x00002F75	0x00002F68	CODE:00002F68                 blo     CURBCOL0@PLYR
CURBSPIN@PLYR	CURBSPIN	PLYR	2	direct:2	0x00002FC4	0x00002FAE	CODE:00002FAE                 bne     CURBSPIN@PLYR
CUSTOM_COINTABI@COIN	CUSTOM_COINTABI	COIN	2	direct:2	0x00007458	0x000073CF	CODE:000073CF                 ldi     @CUSTOM_COINTABI@COIN,ar0
DADA4@MAP	DADA4	MAP	2	direct:2	0x000061B0	0x00006198	CODE:00006198                 be      DADA4@MAP
DBNCE@AUDITS	DBNCE	AUDITS	2	direct:2	0x00001539	0x00001536	CODE:00001536                 be      DBNCE@AUDITS
DCALL@INTRO	DCALL	INTRO	2	map:2	0x0000E66E	0x000017CB	CODE:000017CB                 sti     r0,@DCALL@INTRO
DEBSCAN@COLLA	DEBSCAN	COLLA	2	direct:2	0x0000238C	0x000021DE	CODE:000021DE                 call    DEBSCAN@COLLA
DEBSCL1@COLLA	DEBSCL1	COLLA	2	direct:2	0x00002398	0x0000238D	CODE:0000238D                 bu      DEBSCL1@COLLA
DEBSCL@COLLA	DEBSCL	COLLA	2	direct:2	0x00002397	0x0000238F	CODE:0000238F                 bne     DEBSCL@COLLA
DECOMPRESSLP@COMP	DECOMPRESSLP	COMP	2	direct:2	0x0000A36D	0x0000A376	CODE:0000A376                 bu      DECOMPRESSLP@COMP
DECOMPRESSX@COMP	DECOMPRESSX	COMP	2	direct:2	0x0000A399	0x0000A366	CODE:0000A366                 be      DECOMPRESSX@COMP ; IFI
DECOMPRESS_TOPLP3@COMP	DECOMPRESS_TOPLP3	COMP	2	direct:2	0x0000A35F	0x0000A345	CODE:0000A345                 blt     DECOMPRESS_TOPLP3@COMP
DEER_EXPX@ROADKILL	DEER_EXPX	ROADKILL	2	direct:2	0x00006AB3	0x00006A9D	CODE:00006A9D                 blt     DEER_EXPX@ROADKILL
DELP2@PALL	DELP2	PALL	2	direct:2	0x00009FDE	0x00009FD0	CODE:00009FD0                 be      DELP2@PALL
DELSLP@OBJ	DELSLP	OBJ	2	direct:2	0x000070FE	0x000070F6	CODE:000070F6                 bud     DELSLP@OBJ
DFX1@COLLA	DFX1	COLLA	2	direct:2	0x000025CF	0x000025C5	CODE:000025C5                 bgt     DFX1@COLLA
DGBT@CUSA	DGBT	CUSA	2	direct:2	0x00004EBD	0x00004EB5	CODE:00004EB5                 blt     DGBT@CUSA
DHSLOOP@HSTDP	DHSLOOP	HSTDP	2	direct:2	0x00003869	0x0000387F	CODE:0000387F                 bne     DHSLOOP@HSTDP
DHSLOOPX@HSTDP	DHSLOOPX	HSTDP	2	direct:2	0x00003880	0x0000387D	CODE:0000387D                 bge     DHSLOOPX@HSTDP
DISPLAY_PAGE	DISPLAY_PAGE		2	direct:2	0x0000C972	0x00004C97	CODE:00004C97                 ldi     @DISPLAY_PAGE,r0
DODIE@BONUS	DODIE	BONUS	2	direct:2	0x00003A2B	0x000039D0	CODE:000039D0                 be      DODIE@BONUS
DONE_MODE_MSG@DIAG	DONE_MODE_MSG	DIAG	2	direct:2	0x00000A20	0x00000A14	CODE:00000A14                 be      DONE_MODE_MSG@DIAG
DONE_MSG@DIAG	DONE_MSG	DIAG	2	direct:2	0x00000C26	0x00000C1C	CODE:00000C1C                 be      DONE_MSG@DIAG
DONTWORRY@SIGMA	DONTWORRY	SIGMA	2	direct:2	0x0000A440	0x0000A43B	CODE:0000A43B                 be      DONTWORRY@SIGMA
DOWNLOAD_PROGRAM@MOTION	DOWNLOAD_PROGRAM	MOTION	2	direct:2	0x000048D5	0x000048DB	CODE:000048DB                 bu      DOWNLOAD_PROGRAM@MOTION
DRONDEBRIS@COLLA	DRONDEBRIS	COLLA	2	direct:2	0x000021EF	0x000021DC	CODE:000021DC                 call    DRONDEBRIS@COLLA
DRONINBX@PLYR	DRONINBX	PLYR	2	direct:2	0x00002F74	0x00002F6E	CODE:00002F6E                 bgt     DRONINBX@PLYR
DRONSIGN@COLLA	DRONSIGN	COLLA	2	direct:2	0x000021F1	0x000021DB	CODE:000021DB                 call    DRONSIGN@COLLA
DSORTNXT@OBJ	DSORTNXT	OBJ	2	direct:2	0x0000721B	0x0000720F	CODE:0000720F                 bud     DSORTNXT@OBJ    ; alts: DRONESORT@OBJ
DSORTNXT@ROADBLCK	DSORTNXT	ROADBLCK	2	direct:2	0x0000AFB1	0x0000AFA5	CODE:0000AFA5                 bud     DSORTNXT@ROADBLCK ; alts: DSORTNXT
DSS@DIAG	DSS	DIAG	2	direct:2	0x000008A8	0x000008AD	CODE:000008AD                 bne     DSS@DIAG
DVLOOP@DIAG	DVLOOP	DIAG	2	direct:2	0x00000F91	0x00000FBC	CODE:00000FBC                 bu      DVLOOP@DIAG
DWAI@COMMQ	DWAI	COMMQ	2	direct:2	0x00007754	0x0000774D	CODE:0000774D                 be      DWAI@COMMQ
DYNALP@DIRQ	DYNALP	DIRQ	2	direct:2	0x00000220	0x000001FE	CODE:000001FE                 bud     DYNALP@DIRQ
DYNALPX@DIRQ	DYNALPX	DIRQ	2	direct:2	0x00000247	0x00000284	CODE:00000284                 bu      DYNALPX@DIRQ
DYNREG@DIRQ	DYNREG	DIRQ	2	direct:2	0x000001D0	0x00000259	CODE:00000259                 be      DYNREG@DIRQ
END_OF_GAMEP	END_OF_GAMEP		2	direct:2	0x0000E665	0x00002A5C	CODE:00002A5C                 ldi     @END_OF_GAMEP,r0
ENTER_DIAG_INIT@DIAG	ENTER_DIAG_INIT	DIAG	2	direct:2	0x00000678	0x00000669	CODE:00000669                 call    ENTER_DIAG_INIT@DIAG
ENTER_HERE@BONUS	ENTER_HERE	BONUS	2	direct:2	0x00003E0F	0x00003E92	CODE:00003E92                 bu      ENTER_HERE@BONUS
ERRLOG_D@ERROR	ERRLOG_D	ERROR	2	direct:2	0x0000ABBC	0x0000ABDD	CODE:0000ABDD                 bge     ERRLOG_D@ERROR
EXITL2@MOTION	EXITL2	MOTION	2	direct:2	0x00004A6F	0x00004A67	CODE:00004A67                 bhs     EXITL2@MOTION
EXITR@CUSA	EXITR	CUSA	2	direct:2	0x00004DEA	0x00004DB7	CODE:00004DB7                 bud     EXITR@CUSA
EXP_DIE@DRONES	EXP_DIE	DRONES	2	direct:2	0x000067D7	0x000067C6	CODE:000067C6                 blt     EXP_DIE@DRONES
FILLLP1@FONT1A	FILLLP1	FONT1A	2	direct:2	0x0000A811	0x0000A817	CODE:0000A817                 bge     FILLLP1@FONT1A
FIND_PLATES@HSTDP	FIND_PLATES	HSTDP	2	direct:2	0x0000373C	0x00003371	CODE:00003371                 call    FIND_PLATES@HSTDP
FIND_ROLLER@HSTDP	FIND_ROLLER	HSTDP	2	direct:2	0x00003646	0x00003635	CODE:00003635                 call    FIND_ROLLER@HSTDP
FLASH_INSERTCOINS@COIN	FLASH_INSERTCOINS	COIN	2	direct:2	0x000074CA	0x0000749C	CODE:0000749C                 be      FLASH_INSERTCOINS@COIN
FLASH_START@COIN	FLASH_START	COIN	2	direct:2	0x000074E2	0x00007491	CODE:00007491                 be      FLASH_START@COIN
FLASH_STARTX@COIN	FLASH_STARTX	COIN	2	direct:2	0x000074FB	0x000074F5	CODE:000074F5                 bu      FLASH_STARTX@COIN
FLY0@COLLA	FLY0	COLLA	2	direct:2	0x00002440	0x00002438	CODE:00002438                 bne     FLY0@COLLA
FLYCAR0@COLLA	FLYCAR0	COLLA	2	direct:2	0x00002405	0x000023FE	CODE:000023FE                 be      FLYCAR0@COLLA
FLYCARPXXX@COLLA	FLYCARPXXX	COLLA	2	direct:2	0x0000255E	0x000024A9	CODE:000024A9                 bgt     FLYCARPXXX@COLLA
FLYCARSTP@COLLA	FLYCARSTP	COLLA	2	direct:2	0x00002543	0x00002538	CODE:00002538                 bhs     FLYCARSTP@COLLA
FLYCCC@COLLA	FLYCCC	COLLA	2	direct:2	0x00002532	0x00002514	CODE:00002514                 bu      FLYCCC@COLLA
FLYCOLL@COLLA	FLYCOLL	COLLA	2	direct:2	0x000022B2	0x00002240	CODE:00002240                 be      FLYCOLL@COLLA
FLYCOLLPI	FLYCOLLPI		2	direct:2	0x00002333	0x000022D9	CODE:000022D9                 ldi     @FLYCOLLPI,ar2  ; LDPI
FLYSTOP@COLLA	FLYSTOP	COLLA	2	direct:2	0x00002381	0x00002354	CODE:00002354                 bgt     FLYSTOP@COLLA
FONT10_A@TEXT	FONT10_A	TEXT	2	direct:2	0x00007972	0x00007A05	CODE:00007A05                 ldi     @FONT10_A@TEXT,r0
FONT18_A@TEXT	FONT18_A	TEXT	2	direct:2	0x0000796F	0x00007A1D	CODE:00007A1D                 ldi     @FONT18_A@TEXT,r0
FONT40TABI	FONT40TABI		2	direct:2	0x0000B0B9	0x000079F1	CODE:000079F1                 ldi     @FONT40TABI,r0
FONT40_A@TEXT	FONT40_A	TEXT	2	direct:2	0x00007971	0x000079EC	CODE:000079EC                 ldi     @FONT40_A@TEXT,r0
FONTDIGLGI	FONTDIGLGI		2	direct:2	0x0000B0B6	0x000079C0	CODE:000079C0                 ldi     @FONTDIGLGI,r0
FONTDIGSMI	FONTDIGSMI		2	direct:2	0x0000B0B7	0x000079A8	CODE:000079A8                 ldi     @FONTDIGSMI,r0
FONTN43TABI	FONTN43TABI		2	direct:2	0x0000B0B8	0x000079D9	CODE:000079D9                 ldi     @FONTN43TABI,r0
FONTN43_A@TEXT	FONTN43_A	TEXT	2	direct:2	0x000079D1	0x000079D4	CODE:000079D4                 ldi     @FONTN43_A@TEXT,r0
FORMAT_NUM@HSTDP	FORMAT_NUM	HSTDP	2	direct:2	0x000037C2	0x00003763	CODE:00003763                 call    FORMAT_NUM@HSTDP
FORMNX@HSTDP	FORMNX	HSTDP	2	direct:2	0x000037E5	0x000037DD	CODE:000037DD                 be      FORMNX@HSTDP
FORMULA1@MAP	FORMULA1	MAP	2	direct:2	0x00005FEC	0x00005FEF	CODE:00005FEF                 mpyf    @FORMULA1@MAP,r0
FORMULA@INFIN	FORMULA	INFIN	2	direct:2	0x0000825D	0x00008276	CODE:00008276                 mpyf    @FORMULA@INFIN,r2
FREEZE_IT	FREEZE_IT		2	direct:2	0x0000E916	0x0000AD5D	CODE:0000AD5D                 sti     r0,@FREEZE_IT
FRIC0@PLYR	FRIC0	PLYR	2	direct:2	0x00002DE1	0x00002DDA	CODE:00002DDA                 bgt     FRIC0@PLYR
FRL1@PLYR	FRL1	PLYR	2	direct:2	0x00002DD5	0x00002DCF	CODE:00002DCF                 bne     FRL1@PLYR
GCHX@COIN	GCHX	COIN	2	direct:2	0x00007532	0x0000752D	CODE:0000752D                 be      GCHX@COIN
GEARTABI@PLYR	GEARTABI	PLYR	2	direct:2	0x00002C46	0x00002C61	CODE:00002C61                 ldi     @GEARTABI@PLYR,ar0
GETBX@PLYR	GETBX	PLYR	2	direct:2	0x00002E25	0x00002E1B	CODE:00002E1B                 bne     GETBX@PLYR
GETCOIN_DEFAULT@COIN	GETCOIN_DEFAULT	COIN	2	direct:2	0x000073E2	0x00000A08	CODE:00000A08                 call    GETCOIN_DEFAULT@COIN
GETDIR@PLYR	GETDIR	PLYR	2	direct:2	0x00002CEB	0x00002AB0	CODE:00002AB0                 call    GETDIR@PLYR
GETDIST@OBJ	GETDIST	OBJ	2	direct:2	0x00007083	0x0000709F	CODE:0000709F                 call    GETDIST@OBJ
GETRD1@PLYR	GETRD1	PLYR	2	direct:2	0x0000303B	0x00003034	CODE:00003034                 bu      GETRD1@PLYR
GETSK0@PLYR	GETSK0	PLYR	2	direct:2	0x00002CA8	0x00002CA2	CODE:00002CA2                 be      GETSK0@PLYR
GETSKID@PLYR	GETSKID	PLYR	2	direct:2	0x00002C9C	0x00002A9C	CODE:00002A9C                 call    GETSKID@PLYR
GETSKXX@PLYR	GETSKXX	PLYR	2	direct:2	0x00002CD1	0x00002C9F	CODE:00002C9F                 bu      GETSKXX@PLYR
GETSPD2@PLYR	GETSPD2	PLYR	2	direct:2	0x00002DF9	0x00002D8B	CODE:00002D8B                 br      GETSPD2@PLYR
GET_AR4_DIGITS@MEMTEST	GET_AR4_DIGITS	MEMTEST	2	direct:2	0x00006322	0x0000633F	CODE:0000633F                 call    GET_AR4_DIGITS@MEMTEST
GOTCOL@COLLA	GOTCOL	COLLA	2	direct:2	0x000028A4	0x00002888	CODE:00002888                 bu      GOTCOL@COLLA
GPLX@PALL	GPLX	PALL	2	direct:2	0x00009F52	0x00009F30	CODE:00009F30                 bu      GPLX@PALL
GSKD1@PLYR	GSKD1	PLYR	2	direct:2	0x00002AA6	0x00002A9F	CODE:00002A9F                 be      GSKD1@PLYR
