label	label_norm	module	kind	address	status	src_first5	rom_first5
FIFO_ADDR	FIFO_ADDR		data	0x00600000	OK		
SW_VIEW3	SW_VIEW3		data	0x00800000	OK		
TIMER_CNTL1	TIMER_CNTL1		data	0x00808020	OK		
TIMER_CNTR1	TIMER_CNTR1		data	0x00808024	OK		
TIMER_PERIOD1	TIMER_PERIOD1		data	0x00808028	OK		
CPU_WS	CPU_WS		data	0x00808064	OK		
COMMINTM	COMMINTM		data	0x008099DF	OK		
MPROC_TIK	MPROC_TIK@CUSA	CUSA	data	0x008099E0	OK		
WDHIT	WDHIT@CUSA	CUSA	data	0x008099E1	OK		
BUTTON_TIKS	BUTTON_TIKS@CUSA	CUSA	data	0x008099E2	OK		
COMM_MASTER_ERROR_CNT	COMM_MASTER_ERROR_CNT		data	0x00809A16	OK		
COMM_MASTER_TRANSES	COMM_MASTER_TRANSES		data	0x00809A17	OK		
COMM_SLAVE_ERROR_CNT	COMM_SLAVE_ERROR_CNT		data	0x00809A18	OK		
COMM_SLAVE_TRANSES	COMM_SLAVE_TRANSES		data	0x00809A19	OK		
COMMQ_TMP_BUFF	COMMQ_TMP_BUFF		data	0x00809A1B	OK		
IN_RESET_MODE	IN_RESET_MODE		data	0x00809A79	OK		
BASICS_RAM	BASICS_RAM@MEMTEST	MEMTEST	data	0x00809A7A	OK		
RESET_TIMER	RESET_TIMER@SND	SND	data	0x00809A7A	OK		
BLOWLIST	BLOWLIST		data	0x00809D00	OK		
RAMTEST_END_ptr_0080C7A2	RAMTEST_END_ptr_0080C7A2		data	0x0080C7A2	OK		
START_RADY	START_RADY		data	0x0080E432	OK		
CHALLENGE_RACE	CHALLENGE_RACE		data	0x0080E4AF	OK		
DRONE_DISPATCH_P	DRONE_DISPATCH_P		data	0x0080E61B	OK		
SCREEN	SCREEN		data	0x00900000	OK		
SCREEN0	SCREEN0		data	0x00900000	OK		
SCREEN1	SCREEN1		data	0x00940000	OK		
DMA_CTRL	DMA_CTRL		data	0x00980000	OK		
FIFO_CNTR	FIFO_CNTR		data	0x00980000	OK		
DMA_CMAP	DMA_CMAP		data	0x00980001	OK		
DMA_AX	DMA_AX		data	0x00980002	OK		
DMA_AY	DMA_AY		data	0x00980003	OK		
DMA_AZ	DMA_AZ		data	0x00980004	OK		
DMA_BX	DMA_BX		data	0x00980005	OK		
DMA_BY	DMA_BY		data	0x00980006	OK		
DMA_BZ	DMA_BZ		data	0x00980007	OK		
DMA_CX	DMA_CX		data	0x00980008	OK		
DMA_CY	DMA_CY		data	0x00980009	OK		
DMA_CZ	DMA_CZ		data	0x0098000A	OK		
DMA_DX	DMA_DX		data	0x0098000B	OK		
DMA_DY	DMA_DY		data	0x0098000C	OK		
DMA_DZ	DMA_DZ		data	0x0098000D	OK		
DMA_IVA	DMA_IVA		data	0x0098000E	OK		
DMA_IVB	DMA_IVB		data	0x0098000F	OK		
DMA_IVC	DMA_IVC		data	0x00980010	OK		
DMA_IVD	DMA_IVD		data	0x00980011	OK		
DMA_LINE	DMA_LINE		data	0x00980012	OK		
CRT_SETUP	CRT_SETUP		data	0x00980020	OK		
CRT_VCNT	CRT_VCNT		data	0x00980020	OK		
CRT_HADDRINC	CRT_HADDRINC		data	0x00980021	OK		
CRT_HBLKSTART	CRT_HBLKSTART		data	0x00980022	OK		
CRT_HSYNCSTART	CRT_HSYNCSTART		data	0x00980023	OK		
CRT_HSYNCEND	CRT_HSYNCEND		data	0x00980024	OK		
CRT_HBLKEND	CRT_HBLKEND		data	0x00980025	OK		
CRT_HTTL	CRT_HTTL		data	0x00980026	OK		
CRT_VBLKSTART	CRT_VBLKSTART		data	0x00980027	OK		
CRT_SYNCSTART	CRT_SYNCSTART		data	0x00980028	OK		
CRT_SYNCEND	CRT_SYNCEND		data	0x00980029	OK		
CRT_VBLK	CRT_VBLK		data	0x0098002A	OK		
CRT_VTTL	CRT_VTTL		data	0x0098002B	OK		
DMA_SETUP	DMA_SETUP		data	0x00980040	OK		
FIFO_SIZE	FIFO_SIZE		data	0x00980041	OK		
LIGHTIY	LIGHTIY		data	0x00980049	OK		
FIFO_CONTROL	FIFO_CONTROL		data	0x00980080	OK		
FIFO_STATUS	FIFO_STATUS		data	0x00980082	OK		
FIFO_INC	FIFO_INC		data	0x00980083	OK		
GAMETRAKI	GAMETRAKI		data	0x00983963	OK		
MAXDIST	MAXDIST@ROADBLCK	ROADBLCK	data	0x0098AFA4	OK		
DIAGPAL_ptr_0098C80F	DIAGPAL_ptr_0098C80F		data	0x0098C80F	OK		
lpot0	lpot0		data	0x0098C91A	OK		
BONUS_WAVE	BONUS_WAVE		data	0x0098E4B1	OK		
ETIME	ETIME		data	0x0098E4EC	OK		
WHEELOUT	WHEELOUT@WHEEL	WHEEL	data	0x0098EA79	OK		
WHEELMAX	WHEELMAX		data	0x0098EA7A	OK		
DAMPPWR	DAMPPWR@WHEEL	WHEEL	data	0x0098EA7B	OK		
COMMPAL	COMMPAL		data	0x00990000	OK		
SWITCH3	SWITCH3		data	0x00991030	OK		
SWITCH2	SWITCH2		data	0x00991050	OK		
SWITCH1	SWITCH1		data	0x00991060	OK		
DIPSW	DIPSW		data	0x00992000	OK		
ATOD_R	ATOD_R		data	0x00993000	OK		
SYSCNTLR	SYSCNTLR		data	0x00994000	OK		
SOUND	SOUND		data	0x00995000	OK		
WHEEL	WHEEL		data	0x00995000	OK		
CMOS_WP_WORD	CMOS_WP_WORD		data	0x00995020	OK		
OUT1	OUT1		data	0x00996000	OK		
COMMDP	COMMDP		data	0x00997000	OK		
COMM_IO	COMM_IO		data	0x00997000	OK		
COMM_CTL	COMM_CTL		data	0x00997001	OK		
COUNTDOWN_BUFI	COUNTDOWN_BUFI		data	0x00999D0B	OK		
lgnum43_coolyelo_ptr_0099B255	lgnum43_coolyelo_ptr_0099B255		data	0x0099B255	OK		
sPOTVALUE_ptr_0099C7E7	sPOTVALUE_ptr_0099C7E7		data	0x0099C7E7	OK		
PZC1_ptr_0099C7E8	PZC1_ptr_0099C7E8		data	0x0099C7E8	OK		
MOTION_CMDSTR_ptr_0099C7E9	MOTION_CMDSTR_ptr_0099C7E9		data	0x0099C7E9	OK		
MOTION_CMDSTR_ptr_0099C7EA	MOTION_CMDSTR_ptr_0099C7EA		data	0x0099C7EA	OK		
sPOTVALUE_ptr_0099C7EB	sPOTVALUE_ptr_0099C7EB		data	0x0099C7EB	OK		
MOTION_CMDSTR_ptr_0099C7EC	MOTION_CMDSTR_ptr_0099C7EC		data	0x0099C7EC	OK		
PZC2_ptr_0099C7ED	PZC2_ptr_0099C7ED		data	0x0099C7ED	OK		
sPOTVALUE_ptr_0099C7EE	sPOTVALUE_ptr_0099C7EE		data	0x0099C7EE	OK		
PYC1_ptr_0099C7EF	PYC1_ptr_0099C7EF		data	0x0099C7EF	OK		
MOTION_CMDSTR_ptr_0099C7F0	MOTION_CMDSTR_ptr_0099C7F0		data	0x0099C7F0	OK		
MOTION_CMDSTR_ptr_0099C7F1	MOTION_CMDSTR_ptr_0099C7F1		data	0x0099C7F1	OK		
sPOTVALUE_ptr_0099C7F2	sPOTVALUE_ptr_0099C7F2		data	0x0099C7F2	OK		
MOTION_CMDSTR_ptr_0099C7F3	MOTION_CMDSTR_ptr_0099C7F3		data	0x0099C7F3	OK		
PYC2_ptr_0099C7F4	PYC2_ptr_0099C7F4		data	0x0099C7F4	OK		
sPOTVALUE_ptr_0099C7F5	sPOTVALUE_ptr_0099C7F5		data	0x0099C7F5	OK		
PXC1_ptr_0099C7F6	PXC1_ptr_0099C7F6		data	0x0099C7F6	OK		
MOTION_CMDSTR_ptr_0099C7F7	MOTION_CMDSTR_ptr_0099C7F7		data	0x0099C7F7	OK		
MOTION_CMDSTR_ptr_0099C7F8	MOTION_CMDSTR_ptr_0099C7F8		data	0x0099C7F8	OK		
sPOTVALUE_ptr_0099C7F9	sPOTVALUE_ptr_0099C7F9		data	0x0099C7F9	OK		
MOTION_CMDSTR_ptr_0099C7FA	MOTION_CMDSTR_ptr_0099C7FA		data	0x0099C7FA	OK		
PXC2_ptr_0099C7FB	PXC2_ptr_0099C7FB		data	0x0099C7FB	OK		
ENDED_ptr_0099C7FC	ENDED_ptr_0099C7FC		data	0x0099C7FC	OK		
XQ_ptr_0099C7FD	XQ_ptr_0099C7FD		data	0x0099C7FD	OK		
XQ_ptr_0099C7FE	XQ_ptr_0099C7FE		data	0x0099C7FE	OK		
THEPROGL_ptr_0099C7FF	THEPROGL_ptr_0099C7FF		data	0x0099C7FF	OK		
_ATTR_MODE	_ATTR_MODE		data	0x0099C918	OK		
MOTION_NOT_ON	MOTION_NOT_ON@MOTION	MOTION	data	0x0099EB7E	OK		
