address	comment
0x000007D7	TEXTITT
0x000007D8	TEXTITT
0x000007D9	TEXTITT
0x000007DA	TEXTITT
0x000007DB	TEXTITT
0x000007DC	TEXTITT
0x000007DD	TEXTITT
0x000007DE	TEXTITT
0x000007DF	TEXTITT
0x000007E0	TEXTITT
0x000007E1	TEXTITT
0x000007E2	TEXTITT
0x000007E3	TEXTITT
0x000007E4	TEXTITT
0x000007E5	TEXTITT
0x000007E6	TEXTITT
0x000007E7	TEXTITT
0x000007E8	TEXTITT
0x000007E9	TEXTITT
0x000007EA	TEXTITT
0x000007EB	TEXTITT
0x000007EC	TEXTITT
0x000007ED	TEXTITT
0x000007EE	TEXTITT
0x000007EF	TEXTITT
0x000007F0	TEXTITT
0x000007F1	TEXTITT
0x000007F2	TEXTITT
0x000007F3	TEXTITT
0x000007F4	TEXTITT
0x000007F5	TEXTITT
0x000007F6	TEXTITT
0x000007F7	TEXTITT
0x000007F8	TEXTITT
0x000007F9	TEXTITT
0x000007FA	TEXTITT
0x000007FB	TEXTITT
0x000007FC	TEXTITT
0x000007FD	TEXTITT
0x000007FE	TEXTITT
0x000007FF	TEXTITT
0x00000800	TEXTITT
0x00000801	TEXTITT
0x00000802	TEXTITT
0x00000803	TEXTITT
0x00000804	TEXTITT
0x00000805	TEXTITT
0x00000806	TEXTITT
0x00000807	TEXTITT
0x00000808	TEXTITT
0x00000809	TEXTITT
0x0000080A	TEXTITT
0x0000080B	TEXTITT
0x0000080C	TEXTITT
0x0000080D	TEXTITT
0x0000080E	TEXTITT
0x0000080F	TEXTITT
0x00000810	TEXTITT
0x00000811	TEXTITT
0x00000812	TEXTITT
0x00000813	TEXTITT
0x00000814	TEXTITT
0x00000815	TEXTITT
0x00000816	TEXTITT
0x00000817	TEXTITT
0x00000818	IWINDOW
0x00000819	IWINDOW
0x0000081A	IWINDOW
0x0000081B	IWINDOW
0x0000081C	IWINDOW
0x00000820	TEXTITT
0x00000821	TEXTITT
0x00000822	TEXTITT
0x00000823	TEXTITT
0x00000824	TEXTITT
0x00000825	TEXTITT
0x00000826	TEXTITT
0x00000827	TEXTITT
0x00000828	TEXTITT
0x00000829	TEXTITT
0x0000082A	TEXTITT
0x0000082B	TEXTITT
0x0000082C	READADJ
0x0000082D	READADJ
0x00000835	READADJ
0x00000836	READADJ
0x0000083E	READADJ
