symbol,ref_count,example1,example2,example3
OLOW_PRIORITY,8,/Users/j.harris/code/cruisin-usa/OBJ.ASM:26,/Users/j.harris/code/cruisin-usa/OBJ.ASM:58,/Users/j.harris/code/cruisin-usa/OBJ.ASM:315
PALXFER_ACTIVE,8,/Users/j.harris/code/cruisin-usa/PALL.ASM:91,/Users/j.harris/code/cruisin-usa/PALL.ASM:92,/Users/j.harris/code/cruisin-usa/PALL.ASM:100
POSES,8,/Users/j.harris/code/cruisin-usa/INTRO.ASM:37,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2639,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2668
SPINBUMP,8,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3553,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3570,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3580
SUBRI,8,/Users/j.harris/code/cruisin-usa/HUD.ASM:589,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:830,/Users/j.harris/code/cruisin-usa/LEG.ASM:500
TYCO_NTL_IDX,8,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:71,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:110,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:136
usect,8,/Users/j.harris/code/cruisin-usa/MACS.EQU:575,/Users/j.harris/code/cruisin-usa/MACS.EQU:579,/Users/j.harris/code/cruisin-usa/MACS.EQU:583
VAL,8,/Users/j.harris/code/cruisin-usa/INTRO.ASM:283,/Users/j.harris/code/cruisin-usa/INTRO.ASM:285,/Users/j.harris/code/cruisin-usa/INTRO.ASM:290
VALUEI,8,/Users/j.harris/code/cruisin-usa/MACS.EQU:10,/Users/j.harris/code/cruisin-usa/MACS.EQU:12,/Users/j.harris/code/cruisin-usa/MACS.EQU:17
WAS_HEAD2HEAD_ON,8,/Users/j.harris/code/cruisin-usa/BONUS.ASM:267,/Users/j.harris/code/cruisin-usa/BONUS.ASM:522,/Users/j.harris/code/cruisin-usa/BONUS.ASM:524
BONUS_WAITFLAG,7,/Users/j.harris/code/cruisin-usa/INTRO.ASM:575,/Users/j.harris/code/cruisin-usa/INTRO.ASM:662,/Users/j.harris/code/cruisin-usa/INTRO.ASM:688
bottom2_gtmp_p,7,/Users/j.harris/code/cruisin-usa/INTRO.ASM:3681,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:551,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:552
CARFREE,7,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:662,/Users/j.harris/code/cruisin-usa/UTIL.ASM:1051,/Users/j.harris/code/cruisin-usa/UTIL.ASM:1054
COCONUT_COUNT,7,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1523,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1525,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1529
COLL_POS,7,/Users/j.harris/code/cruisin-usa/RROAD.ASM:26,/Users/j.harris/code/cruisin-usa/RROAD.ASM:87,/Users/j.harris/code/cruisin-usa/RROAD.ASM:95
DGROUPSI,7,/Users/j.harris/code/cruisin-usa/DRONES.ASM:529,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:38,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:48
DIAG_ACTIVE,7,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:232,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:239,/Users/j.harris/code/cruisin-usa/CUSA.ASM:133
DRONE_COUNT,7,/Users/j.harris/code/cruisin-usa/DRONES.ASM:45,/Users/j.harris/code/cruisin-usa/DRONES.ASM:245,/Users/j.harris/code/cruisin-usa/DRONES.ASM:415
dth,7,/Users/j.harris/code/cruisin-usa/HUD.ASM:458,/Users/j.harris/code/cruisin-usa/HUD.ASM:459,/Users/j.harris/code/cruisin-usa/HUD.ASM:460
DYNAFREE,7,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:659,/Users/j.harris/code/cruisin-usa/UTIL.ASM:960,/Users/j.harris/code/cruisin-usa/UTIL.ASM:963
FPLE,7,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1507,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1515,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1525
G,7,/Users/j.harris/code/cruisin-usa/CMOS.ASM:675,/Users/j.harris/code/cruisin-usa/CMOS.ASM:679,/Users/j.harris/code/cruisin-usa/CMOS.ASM:689
GALIL_STATUS_X,7,/Users/j.harris/code/cruisin-usa/MOTION.ASM:196,/Users/j.harris/code/cruisin-usa/MOTION.ASM:223,/Users/j.harris/code/cruisin-usa/MOTION.ASM:319
GALIL_STATUS_Y,7,/Users/j.harris/code/cruisin-usa/MOTION.ASM:197,/Users/j.harris/code/cruisin-usa/MOTION.ASM:226,/Users/j.harris/code/cruisin-usa/MOTION.ASM:322
GALIL_STATUS_Z,7,/Users/j.harris/code/cruisin-usa/MOTION.ASM:198,/Users/j.harris/code/cruisin-usa/MOTION.ASM:229,/Users/j.harris/code/cruisin-usa/MOTION.ASM:325
GHX,7,/Users/j.harris/code/cruisin-usa/MOTION.ASM:2021,/Users/j.harris/code/cruisin-usa/MOTION.ASM:2024,/Users/j.harris/code/cruisin-usa/MOTION.ASM:2027
JAJA5,7,/Users/j.harris/code/cruisin-usa/MAP.ASM:1052,/Users/j.harris/code/cruisin-usa/MAP.ASM:1056,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1357
LDFGE,7,/Users/j.harris/code/cruisin-usa/COLLA.ASM:2464,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3519,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3727
LDINC,7,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:213,/Users/j.harris/code/cruisin-usa/PLYR.ASM:1197,/Users/j.harris/code/cruisin-usa/PLYR.ASM:1201
LEG_MAP,7,/Users/j.harris/code/cruisin-usa/SYS.EQU:220,/Users/j.harris/code/cruisin-usa/RACER.EQU:12,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:433
lgnum43_coolyelo,7,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2970,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2971,/Users/j.harris/code/cruisin-usa/INTRO.ASM:3658
MENU_SCROLL,7,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1271,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1276,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1317
MPROC_TIK,7,/Users/j.harris/code/cruisin-usa/CUSA.ASM:148,/Users/j.harris/code/cruisin-usa/CUSA.ASM:581,/Users/j.harris/code/cruisin-usa/CUSA.ASM:582
NBEEP,7,/Users/j.harris/code/cruisin-usa/HUD.ASM:341,/Users/j.harris/code/cruisin-usa/HUD.ASM:345,/Users/j.harris/code/cruisin-usa/HUD.ASM:349
NEWSUBLIST_TOPB,7,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:507,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:508,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:616
NEXT_STARTUP,7,/Users/j.harris/code/cruisin-usa/BONUS.ASM:29,/Users/j.harris/code/cruisin-usa/BONUS.ASM:183,/Users/j.harris/code/cruisin-usa/BONUS.ASM:971
NOGAME,7,/Users/j.harris/code/cruisin-usa/INTRO.ASM:725,/Users/j.harris/code/cruisin-usa/INTRO.ASM:743,/Users/j.harris/code/cruisin-usa/INTRO.ASM:745
NOTPRECOL,7,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:432,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:439,/Users/j.harris/code/cruisin-usa/RHO.ASM:528
NOYELL,7,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:301,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:304,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:313
NUWHL,7,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:53,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:60,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:67
PLYPROC,7,/Users/j.harris/code/cruisin-usa/PLYR.ASM:52,/Users/j.harris/code/cruisin-usa/PLYR.ASM:274,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:514
PLYRFIRST,7,/Users/j.harris/code/cruisin-usa/PLYR.ASM:30,/Users/j.harris/code/cruisin-usa/PLYR.ASM:56,/Users/j.harris/code/cruisin-usa/PLYR.ASM:608
PREVX,7,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:139,/Users/j.harris/code/cruisin-usa/CUSA.ASM:354,/Users/j.harris/code/cruisin-usa/COMP.ASM:590
RADAR_LP,7,/Users/j.harris/code/cruisin-usa/MAP.ASM:1289,/Users/j.harris/code/cruisin-usa/MAP.ASM:1512,/Users/j.harris/code/cruisin-usa/MAP.ASM:1517
RETI,7,/Users/j.harris/code/cruisin-usa/COMM.ASM:678,/Users/j.harris/code/cruisin-usa/COMM.ASM:741,/Users/j.harris/code/cruisin-usa/FONT1A.ASM:34
RETSNE,7,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2015,/Users/j.harris/code/cruisin-usa/BONUS.ASM:190,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3140
ROAD_DEBRIS,7,/Users/j.harris/code/cruisin-usa/COLLA.ASM:1814,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:535,/Users/j.harris/code/cruisin-usa/ROADBLCK.ASM:48
RS30,7,/Users/j.harris/code/cruisin-usa/COLLA.ASM:543,/Users/j.harris/code/cruisin-usa/COLLA.ASM:546,/Users/j.harris/code/cruisin-usa/COLLA.ASM:557
