symbol,ref_count,example1,example2,example3
MXY,4,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:109,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:113,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:116
NCS,4,/Users/j.harris/code/cruisin-usa/UTIL.ASM:741,/Users/j.harris/code/cruisin-usa/UTIL.ASM:745,/Users/j.harris/code/cruisin-usa/UTIL.ASM:750
NETHERLAND1,4,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1321,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1538,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1591
NEW_GROUP,4,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:44,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:45,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:575
NO,4,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2164,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2665,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2732
NO_EPALS,4,/Users/j.harris/code/cruisin-usa/DRONES.ASM:487,/Users/j.harris/code/cruisin-usa/DRONES.ASM:495,/Users/j.harris/code/cruisin-usa/DRONES.ASM:500
NO_WHOOSH,4,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:546,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:549,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:553
NOASK_LINK,4,/Users/j.harris/code/cruisin-usa/INTRO.ASM:373,/Users/j.harris/code/cruisin-usa/INTRO.ASM:860,/Users/j.harris/code/cruisin-usa/INTRO.ASM:862
NOBUMP,4,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:285,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:293,/Users/j.harris/code/cruisin-usa/COMP.ASM:444
NOCLIPPING,4,/Users/j.harris/code/cruisin-usa/INFIN.ASM:313,/Users/j.harris/code/cruisin-usa/INFIN.ASM:317,/Users/j.harris/code/cruisin-usa/INFIN.ASM:361
NODOHOTTIME,4,/Users/j.harris/code/cruisin-usa/BONUS.ASM:573,/Users/j.harris/code/cruisin-usa/BONUS.ASM:576,/Users/j.harris/code/cruisin-usa/BONUS.ASM:580
NOLOAD,4,/Users/j.harris/code/cruisin-usa/RHO.ASM:565,/Users/j.harris/code/cruisin-usa/RHO.ASM:570,/Users/j.harris/code/cruisin-usa/COMP.ASM:672
NOSMK,4,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:495,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:497,/Users/j.harris/code/cruisin-usa/RHO.ASM:733
NOSOUND_FX,4,/Users/j.harris/code/cruisin-usa/SND.ASM:470,/Users/j.harris/code/cruisin-usa/SND.ASM:474,/Users/j.harris/code/cruisin-usa/SND.ASM:477
NOSPUTSND,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3306,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3310,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3315
NOSTART,4,/Users/j.harris/code/cruisin-usa/CUSA.ASM:1457,/Users/j.harris/code/cruisin-usa/CUSA.ASM:1465,/Users/j.harris/code/cruisin-usa/CUSA.ASM:1469
NOT_T2,4,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:1671,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:1676,/Users/j.harris/code/cruisin-usa/CHOPPER.ASM:1600
NOTASEC,4,/Users/j.harris/code/cruisin-usa/CUSA.ASM:791,/Users/j.harris/code/cruisin-usa/CUSA.ASM:822,/Users/j.harris/code/cruisin-usa/CUSA.ASM:826
NOTDYNAROAD,4,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:815,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:851,/Users/j.harris/code/cruisin-usa/LEG.ASM:476
NOTREVERSED,4,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:645,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:703,/Users/j.harris/code/cruisin-usa/LEG.ASM:395
NOTRVSTRK,4,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:829,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:831,/Users/j.harris/code/cruisin-usa/LEG.ASM:499
NOTYETLNKD,4,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:386,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:390,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:401
NXTLP1,4,/Users/j.harris/code/cruisin-usa/DRONES.ASM:113,/Users/j.harris/code/cruisin-usa/DRONES.ASM:149,/Users/j.harris/code/cruisin-usa/DRONES.ASM:156
ODCX,4,/Users/j.harris/code/cruisin-usa/OBJ.ASM:670,/Users/j.harris/code/cruisin-usa/OBJ.ASM:684,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:355
OFNX,4,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2000,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2006,/Users/j.harris/code/cruisin-usa/FLAME.ASM:271
OFNX1,4,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2009,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2011,/Users/j.harris/code/cruisin-usa/FLAME.ASM:279
OLD_MOTION_CODE,4,/Users/j.harris/code/cruisin-usa/DIAG.ASM:4099,/Users/j.harris/code/cruisin-usa/DIAG.ASM:4114,/Users/j.harris/code/cruisin-usa/DIAG.ASM:4148
OLD_OM_ATTR_MODE,4,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:50,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:473,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:182
OLDDIP,4,/Users/j.harris/code/cruisin-usa/AUDITS.ASM:221,/Users/j.harris/code/cruisin-usa/AUDITS.ASM:286,/Users/j.harris/code/cruisin-usa/AUDITS.ASM:290
OLDPLYAIR,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:55,/Users/j.harris/code/cruisin-usa/PLYR.ASM:307,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3214
OM_POSITION,4,/Users/j.harris/code/cruisin-usa/BONUS.ASM:270,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:58,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:466
OSCANNXT,4,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1135,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1146,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1149
osg10fnt_white,4,/Users/j.harris/code/cruisin-usa/COIN.ASM:953,/Users/j.harris/code/cruisin-usa/COIN.ASM:955,/Users/j.harris/code/cruisin-usa/WAVE.ASM:385
PALTR0,4,/Users/j.harris/code/cruisin-usa/PALL.ASM:102,/Users/j.harris/code/cruisin-usa/PALL.ASM:154,/Users/j.harris/code/cruisin-usa/PALL.ASM:174
PAPA35X,4,/Users/j.harris/code/cruisin-usa/BONUS.ASM:736,/Users/j.harris/code/cruisin-usa/BONUS.ASM:739,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:719
PC1,4,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:545,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:552,/Users/j.harris/code/cruisin-usa/ROADKILL.ASM:369
PEDALMX,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:2273,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3483,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:509
PLAIRTIM,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:57,/Users/j.harris/code/cruisin-usa/PLYR.ASM:308,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3194
plate_lightp,4,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1393,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2643,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2801
PLOTPOLYLP,4,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:1336,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:1342,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:1454
PLOTPOLYLP_1,4,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2252,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2259,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2376
PLT1PAL1,4,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2419,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2426,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2435
PMULT,4,/Users/j.harris/code/cruisin-usa/COLLA.ASM:47,/Users/j.harris/code/cruisin-usa/COLLA.ASM:2879,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3311
POLYLP,4,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:1375,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:1399,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:1415
POLYLP_1,4,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2293,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2319,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2335
PR5A,4,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1356,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1362,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1368
PRR_ONRITE,4,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1337,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1344,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1377
RADIO_HS_SHADOW,4,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2654,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2680,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2682
RAMROM,4,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:109,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:113,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:116
RAW_CHOOSENTRK,4,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:40,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:528,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:551
RECEIVE_BUFFER,4,/Users/j.harris/code/cruisin-usa/COMM.ASM:77,/Users/j.harris/code/cruisin-usa/COMM.EQU:134,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:37
retrn,4,/Users/j.harris/code/cruisin-usa/MPROC.EQU:103,/Users/j.harris/code/cruisin-usa/MPROC.EQU:112,/Users/j.harris/code/cruisin-usa/MPROC.EQU:117
retrnI,4,/Users/j.harris/code/cruisin-usa/MPROC.EQU:103,/Users/j.harris/code/cruisin-usa/MPROC.EQU:106,/Users/j.harris/code/cruisin-usa/MPROC.EQU:117
RETSNC,4,/Users/j.harris/code/cruisin-usa/MAP.ASM:747,/Users/j.harris/code/cruisin-usa/MOTION.ASM:1824,/Users/j.harris/code/cruisin-usa/MOTION.ASM:1867
REVFLG,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:47,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3152,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3168
RHO_DIE0,4,/Users/j.harris/code/cruisin-usa/RHO.ASM:654,/Users/j.harris/code/cruisin-usa/RHO.ASM:659,/Users/j.harris/code/cruisin-usa/RHO.ASM:860
RHO_START,4,/Users/j.harris/code/cruisin-usa/RHO.ASM:97,/Users/j.harris/code/cruisin-usa/RHO.ASM:105,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:1258
RHOFLAG,4,/Users/j.harris/code/cruisin-usa/RHO.ASM:95,/Users/j.harris/code/cruisin-usa/RHO.ASM:107,/Users/j.harris/code/cruisin-usa/RHO.ASM:114
S000,4,/Users/j.harris/code/cruisin-usa/RACER.ASM:1504,/Users/j.harris/code/cruisin-usa/RACER.ASM:1513,/Users/j.harris/code/cruisin-usa/RACER.ASM:1519
scroll_white,4,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:188,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2634,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:2714
SEND_BUFFER_A,4,/Users/j.harris/code/cruisin-usa/COMM.EQU:132,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:29,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:31
SEND_FLY_KILL,4,/Users/j.harris/code/cruisin-usa/COLLA.ASM:2580,/Users/j.harris/code/cruisin-usa/COLLA.ASM:2643,/Users/j.harris/code/cruisin-usa/COLLA.ASM:2771
SEND_OM_TRACK,4,/Users/j.harris/code/cruisin-usa/COMMDRNE.ASM:307,/Users/j.harris/code/cruisin-usa/COMM.EQU:158,/Users/j.harris/code/cruisin-usa/COMMQ.ASM:1331
SHLOOP,4,/Users/j.harris/code/cruisin-usa/ROADBLCK.ASM:235,/Users/j.harris/code/cruisin-usa/ROADBLCK.ASM:243,/Users/j.harris/code/cruisin-usa/ROADBLCK.ASM:245
SHOW_VOLUME,4,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2332,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2394,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2419
SHOWENCODER,4,/Users/j.harris/code/cruisin-usa/MOTION.ASM:1938,/Users/j.harris/code/cruisin-usa/MOTION.ASM:1945,/Users/j.harris/code/cruisin-usa/MOTION.ASM:1952
SIGMASLP,4,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:209,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:339,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:374
SKIDX,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3261,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3273,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3276
SMOKE_PUFFLP,4,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1447,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1473,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:59
SNDLDX,4,/Users/j.harris/code/cruisin-usa/SND.ASM:631,/Users/j.harris/code/cruisin-usa/SND.ASM:639,/Users/j.harris/code/cruisin-usa/SND.ASM:641
SOFTVELX,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:2920,/Users/j.harris/code/cruisin-usa/PLYR.ASM:2970,/Users/j.harris/code/cruisin-usa/PLYR.ASM:2976
SORT_SMOKEX,4,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:319,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:326,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:328
SPINBOUNCE,4,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3554,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3563,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3579
SPINCURR,4,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2221,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2416,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2451
SR0,4,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1803,/Users/j.harris/code/cruisin-usa/HSTDP.ASM:1812,/Users/j.harris/code/cruisin-usa/RACER.ASM:1548
SUBLIST_END,4,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:60,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:1096,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:1132
SWISS1,4,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:836,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1527,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1580
T,4,/Users/j.harris/code/cruisin-usa/CMOS.ASM:675,/Users/j.harris/code/cruisin-usa/CMOS.ASM:681,/Users/j.harris/code/cruisin-usa/CMOS.ASM:689
TACHOMETER_PAL,4,/Users/j.harris/code/cruisin-usa/HUD.ASM:564,/Users/j.harris/code/cruisin-usa/HUD.ASM:570,/Users/j.harris/code/cruisin-usa/HUD.ASM:591
TAIWAN1,4,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1150,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1533,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1586
THIS_MACHINE_AHEAD,4,/Users/j.harris/code/cruisin-usa/MAP.ASM:1242,/Users/j.harris/code/cruisin-usa/MAP.ASM:1588,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:462
tiks,4,/Users/j.harris/code/cruisin-usa/MPROC.EQU:55,/Users/j.harris/code/cruisin-usa/MPROC.EQU:56,/Users/j.harris/code/cruisin-usa/MPROC.EQU:64
time,4,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1538,/Users/j.harris/code/cruisin-usa/HUD.ASM:306,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:335
TIMEFRAME,4,/Users/j.harris/code/cruisin-usa/CUSA.ASM:1792,/Users/j.harris/code/cruisin-usa/CUSA.ASM:1812,/Users/j.harris/code/cruisin-usa/CUSA.ASM:1814
TKABOSH,4,/Users/j.harris/code/cruisin-usa/INTRO.ASM:242,/Users/j.harris/code/cruisin-usa/INTRO.ASM:253,/Users/j.harris/code/cruisin-usa/INTRO.ASM:256
TOSTARTBUFFER,4,/Users/j.harris/code/cruisin-usa/COIN.ASM:675,/Users/j.harris/code/cruisin-usa/COIN.ASM:676,/Users/j.harris/code/cruisin-usa/COIN.ASM:1085
TRKP2,4,/Users/j.harris/code/cruisin-usa/DRONES.ASM:639,/Users/j.harris/code/cruisin-usa/DRONES.ASM:648,/Users/j.harris/code/cruisin-usa/DRONES.ASM:657
trmeng1_p,4,/Users/j.harris/code/cruisin-usa/TRANS.ASM:1160,/Users/j.harris/code/cruisin-usa/TRANS.ASM:1180,/Users/j.harris/code/cruisin-usa/TRANS.ASM:1224
TSEL_THEONE,4,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:1036,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:1051,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:1066
TSLPX,4,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:320,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:326,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:361
tt,4,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:111,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:113,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:118
UK1,4,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:922,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1529,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1582
UNFOLDFLAG,4,/Users/j.harris/code/cruisin-usa/BONUS.ASM:275,/Users/j.harris/code/cruisin-usa/BONUS.ASM:340,/Users/j.harris/code/cruisin-usa/BONUS.ASM:342
VANIX,4,/Users/j.harris/code/cruisin-usa/UTIL.ASM:643,/Users/j.harris/code/cruisin-usa/UTIL.ASM:688,/Users/j.harris/code/cruisin-usa/DELTA.ASM:129
VAR,4,/Users/j.harris/code/cruisin-usa/MACS.EQU:325,/Users/j.harris/code/cruisin-usa/MACS.EQU:333,/Users/j.harris/code/cruisin-usa/MACS.EQU:346
VAR_ROAD_KFACTOR,4,/Users/j.harris/code/cruisin-usa/INFIN.ASM:37,/Users/j.harris/code/cruisin-usa/INFIN.ASM:140,/Users/j.harris/code/cruisin-usa/GLOBALS.EQU:369
VARIABLE,4,/Users/j.harris/code/cruisin-usa/MACS.EQU:48,/Users/j.harris/code/cruisin-usa/MACS.EQU:50,/Users/j.harris/code/cruisin-usa/MACS.EQU:51
VERIFY_ADJUSTMENTS_ACCURACYTAB,4,/Users/j.harris/code/cruisin-usa/CMOS.ASM:153,/Users/j.harris/code/cruisin-usa/CMOS.ASM:219,/Users/j.harris/code/cruisin-usa/CMOS.ASM:264
WFCLPXXX,4,/Users/j.harris/code/cruisin-usa/INTRO.ASM:371,/Users/j.harris/code/cruisin-usa/INTRO.ASM:374,/Users/j.harris/code/cruisin-usa/INTRO.ASM:432
WHEELMAX,4,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:24,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:90,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:120
whel2,4,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:1216,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:1216,/Users/j.harris/code/cruisin-usa/TRANS.ASM:1099
whel3,4,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:1216,/Users/j.harris/code/cruisin-usa/TRACKSEL.ASM:1216,/Users/j.harris/code/cruisin-usa/TRANS.ASM:1099
WHLOLD,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3032,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3040,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3058
WHLTIM,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3031,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3039,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3081
wt,4,/Users/j.harris/code/cruisin-usa/DIAG.EQU:68,/Users/j.harris/code/cruisin-usa/DIAG.EQU:71,/Users/j.harris/code/cruisin-usa/DIAG.EQU:81
wt2,4,/Users/j.harris/code/cruisin-usa/MACS.EQU:154,/Users/j.harris/code/cruisin-usa/MACS.EQU:156,/Users/j.harris/code/cruisin-usa/MACS.EQU:168
YES,4,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2161,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2664,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2731
YINCREMENT,4,/Users/j.harris/code/cruisin-usa/HEADS.ASM:203,/Users/j.harris/code/cruisin-usa/HEADS.ASM:246,/Users/j.harris/code/cruisin-usa/HEADS.ASM:252
ZOOMHG,4,/Users/j.harris/code/cruisin-usa/PLYR.ASM:42,/Users/j.harris/code/cruisin-usa/PLYR.ASM:581,/Users/j.harris/code/cruisin-usa/PLYR.ASM:2445
ZSORTX,4,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1348,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1352,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1371
_SECbevhnred,3,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:143,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:401,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:451
_SECh280,3,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:131,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:350,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:394
_SECiowa_bottom,3,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:180,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:195,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:692
_startX,3,/Users/j.harris/code/cruisin-usa/INTRO.ASM:3138,/Users/j.harris/code/cruisin-usa/INTRO.ASM:3146,/Users/j.harris/code/cruisin-usa/INTRO.ASM:3207
ACTIVATE_X,3,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:631,/Users/j.harris/code/cruisin-usa/BACKGRND.ASM:858,/Users/j.harris/code/cruisin-usa/LEG.ASM:531
AGENTANI_LP,3,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:526,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:534,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:541
AHEADOF,3,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1781,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1806,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1814
AMOUNT_CLIPPED,3,/Users/j.harris/code/cruisin-usa/INFIN.ASM:170,/Users/j.harris/code/cruisin-usa/INFIN.ASM:255,/Users/j.harris/code/cruisin-usa/INFIN.ASM:284
AREUSURE,3,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2669,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2676,/Users/j.harris/code/cruisin-usa/DIAG.ASM:3220
ATTR_WAVETAB,3,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:30,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:1534,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:1544
AUSTRALIA1,3,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1050,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1531,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1584
AUSTRIA1,3,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1193,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1534,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1587
BABA66,3,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1224,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1227,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1230
BABAD666,3,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2870,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2873,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2875
BABADUY,3,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1847,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1850,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1854
BEGIN_RELEASING,3,/Users/j.harris/code/cruisin-usa/DRONES.ASM:367,/Users/j.harris/code/cruisin-usa/DRONES.ASM:384,/Users/j.harris/code/cruisin-usa/DRONES.ASM:387
BEVHILL_LIST,3,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:265,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:269,/Users/j.harris/code/cruisin-usa/ATTRDRNE.ASM:283
bevhnred_PALETTES,3,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:49,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:403,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:460
BLED,3,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1209,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:459,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:711
BNND,3,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2214,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2539,/Users/j.harris/code/cruisin-usa/DIRQ.ASM:2662
bnout2,3,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1495,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:28,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:30
bnout4,3,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1499,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:28,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:30
bnout6,3,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1503,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:28,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:30
bnout8,3,/Users/j.harris/code/cruisin-usa/DRONES.ASM:1507,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:28,/Users/j.harris/code/cruisin-usa/SMOKE.ASM:30
BOXSCSUB,3,/Users/j.harris/code/cruisin-usa/COLLA.ASM:167,/Users/j.harris/code/cruisin-usa/COLLA.ASM:170,/Users/j.harris/code/cruisin-usa/COLLA.ASM:190
