timestamp_utc	rom_path	labels_tsv	apply_py	rows_total	rows_code	rows_data	anchors	unresolved	dp0_marks	labels_emitted	promoted_aliases	seed_map	seed_entries	ida_lookup_map	ida_lookup_entries	address_map_entries
2026-06-11T02:13:38.776462+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6035	1573	2434	776	0	484	6035	209	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6035
2026-06-11T02:15:28.420206+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6197	1573	2597	776	0	484	6197	229	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6197
2026-06-11T02:21:39.893915+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6245	1573	2645	776	0	484	6245	229	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6245
2026-06-11T02:26:24.277614+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6197	1573	2597	776	0	484	6197	229	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6197
2026-06-11T02:37:20.431344+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6351	1573	2751	776	0	484	6351	540	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6351
2026-06-11T02:39:35.515356+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6351	1573	2751	776	0	484	6351	540	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6351
2026-06-11T02:42:26.284185+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6351	1573	2751	776	0	484	6351	540	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6351
2026-06-11T02:44:54.157117+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6351	1573	2751	776	0	484	6351	540	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57	/Users/j.harris/Downloads/carma/cruisin/ida-address.map	6097	6351
2026-06-11T03:37:03.350214+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6072	1571	2471	776	0	484	6072	504	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6072
2026-06-11T04:06:27.419755+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6072	1571	2471	776	0	484	6072	504	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6072
2026-06-11T05:55:28.844260+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	3329	1790	1175	333	1	198	3329	310	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	3329
2026-06-11T05:57:14.717809+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6081	1572	2479	776	0	484	6081	1123	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6081
2026-06-11T05:57:25.864129+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	3338	1790	1184	333	1	198	3338	311	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	3338
2026-06-11T05:58:27.602906+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6081	1572	2479	776	0	484	6081	1123	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6081
2026-06-11T05:58:53.152570+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	3326	1790	1172	333	1	198	3326	308	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	3326
2026-06-11T06:01:34.637257+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	5727	1576	2122	776	0	484	5727	1080	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	5727
2026-06-11T06:02:19.822517+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	5727	1576	2122	776	0	484	5727	1080	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	5727
2026-06-11T06:16:36.018809+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	3797	1867	1529	359	1	240	3797	597	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	3797
